"","participant","list","gender","age","itemNr","ID","expression","response"
"256","7","AB","f","35-",16,"juhu2","juhu",3
"257","7","AB","f","35-",17,"hechakuaa1","hechakuaa",5
"258","7","AB","f","35-",18,"hei2","hei",5
"259","7","AB","f","35-",19,"NRRC1","NRRC",5
"260","7","AB","f","35-",20,"controlA3","control",3
"261","7","AB","f","35-",21,"controlB1","control",3
"263","7","AB","f","35-",23,"moa1","moa",5
"264","7","AB","f","35-",24,"possNP2","possNP",5
"265","7","AB","f","35-",25,"kuaauka1","kuaauka",5
"266","7","AB","f","35-",26,"haimete2","haimete",3
"267","7","AB","f","35-",27,"hecha1","hecha",5
"268","7","AB","f","35-",28,"mombeu2","mombeu",5
"269","7","AB","f","35-",29,"topa1","topa",5
"270","7","AB","f","35-",30,"controlB2","control",3
"271","7","AB","f","35-",31,"hechauka2","hechauka",5
"272","7","AB","f","35-",32,"kuaa1","kuaa",5
"273","7","AB","f","35-",33,"cos2","cos",5
"274","7","AB","f","35-",34,"hendu1","hendu",5
"275","7","AB","f","35-",35,"nte2","nte",5
"276","7","AB","f","35-",36,"juhu1","juhu",3
"277","7","AB","f","35-",37,"hechakuaa2","hechakuaa",5
"278","7","AB","f","35-",38,"hei1","hei",5
"279","7","AB","f","35-",39,"NRRC2","NRRC",5
"280","7","AB","f","35-",40,"controlB3","control",3
"281","8","BA","f","35+",1,"controlA1","control",4
"282","8","BA","f","35+",2,"vya1","vya",4
"283","8","BA","f","35+",3,"moa2","moa",3
"284","8","BA","f","35+",4,"possNP1","possNP",2
"285","8","BA","f","35+",5,"kuaauka2","kuaauka",4
"286","8","BA","f","35+",6,"haimete1","haimete",5
"287","8","BA","f","35+",7,"hecha2","hecha",1
"288","8","BA","f","35+",8,"mombeu1","mombeu",1
"289","8","BA","f","35+",9,"topa2","topa",2
"290","8","BA","f","35+",10,"controlA2","control",1
"291","8","BA","f","35+",11,"hechauka1","hechauka",1
"292","8","BA","f","35+",12,"kuaa2","kuaa",4
"293","8","BA","f","35+",13,"cos1","cos",1
"294","8","BA","f","35+",14,"hendu2","hendu",2
"295","8","BA","f","35+",15,"nte1","nte",3
"296","8","BA","f","35+",16,"juhu2","juhu",2
"297","8","BA","f","35+",17,"hechakuaa1","hechakuaa",4
"298","8","BA","f","35+",18,"hei2","hei",2
"299","8","BA","f","35+",19,"NRRC1","NRRC",3
"300","8","BA","f","35+",20,"controlA3","control",2
"301","8","BA","f","35+",21,"controlB1","control",4
"303","8","BA","f","35+",23,"moa1","moa",4
"304","8","BA","f","35+",24,"possNP2","possNP",5
"305","8","BA","f","35+",25,"kuaauka1","kuaauka",2
"306","8","BA","f","35+",26,"haimete2","haimete",1
"307","8","BA","f","35+",27,"hecha1","hecha",1
"308","8","BA","f","35+",28,"mombeu2","mombeu",5
"309","8","BA","f","35+",29,"topa1","topa",3
"310","8","BA","f","35+",30,"controlB2","control",4
"311","8","BA","f","35+",31,"hechauka2","hechauka",2
"312","8","BA","f","35+",32,"kuaa1","kuaa",1
"313","8","BA","f","35+",33,"cos2","cos",3
"314","8","BA","f","35+",34,"hendu1","hendu",5
"315","8","BA","f","35+",35,"nte2","nte",5
"316","8","BA","f","35+",36,"juhu1","juhu",2
"317","8","BA","f","35+",37,"hechakuaa2","hechakuaa",4
"318","8","BA","f","35+",38,"hei1","hei",3
"319","8","BA","f","35+",39,"NRRC2","NRRC",2
"320","8","BA","f","35+",40,"controlB3","control",1
"321","9","AB","f","35-",1,"controlA1","control",3
"322","9","AB","f","35-",2,"vya1","vya",2
"323","9","AB","f","35-",3,"moa2","moa",1
"324","9","AB","f","35-",4,"possNP1","possNP",3
"325","9","AB","f","35-",5,"kuaauka2","kuaauka",5
"326","9","AB","f","35-",6,"haimete1","haimete",5
"327","9","AB","f","35-",7,"hecha2","hecha",3
"328","9","AB","f","35-",8,"mombeu1","mombeu",5
"329","9","AB","f","35-",9,"topa2","topa",5
"330","9","AB","f","35-",10,"controlA2","control",1
"331","9","AB","f","35-",11,"hechauka1","hechauka",5
"332","9","AB","f","35-",12,"kuaa2","kuaa",5
"333","9","AB","f","35-",13,"cos1","cos",3
"334","9","AB","f","35-",14,"hendu2","hendu",4
"335","9","AB","f","35-",15,"nte1","nte",5
"336","9","AB","f","35-",16,"juhu2","juhu",2
"337","9","AB","f","35-",17,"hechakuaa1","hechakuaa",5
"338","9","AB","f","35-",18,"hei2","hei",5
"339","9","AB","f","35-",19,"NRRC1","NRRC",3
"340","9","AB","f","35-",20,"controlA3","control",3
"341","9","AB","f","35-",21,"controlB1","control",3
"343","9","AB","f","35-",23,"moa1","moa",5
"344","9","AB","f","35-",24,"possNP2","possNP",1
"345","9","AB","f","35-",25,"kuaauka1","kuaauka",3
"346","9","AB","f","35-",26,"haimete2","haimete",5
"347","9","AB","f","35-",27,"hecha1","hecha",3
"348","9","AB","f","35-",28,"mombeu2","mombeu",5
"349","9","AB","f","35-",29,"topa1","topa",5
"350","9","AB","f","35-",30,"controlB2","control",2
"351","9","AB","f","35-",31,"hechauka2","hechauka",5
"352","9","AB","f","35-",32,"kuaa1","kuaa",5
"353","9","AB","f","35-",33,"cos2","cos",3
"354","9","AB","f","35-",34,"hendu1","hendu",5
"355","9","AB","f","35-",35,"nte2","nte",4
"356","9","AB","f","35-",36,"juhu1","juhu",5
"357","9","AB","f","35-",37,"hechakuaa2","hechakuaa",3
"358","9","AB","f","35-",38,"hei1","hei",5
"359","9","AB","f","35-",39,"NRRC2","NRRC",5
"360","9","AB","f","35-",40,"controlB3","control",3
"361","10","BA","f","35-",1,"controlA1","control",4
"362","10","BA","f","35-",2,"vya1","vya",4
"363","10","BA","f","35-",3,"moa2","moa",4
"364","10","BA","f","35-",4,"possNP1","possNP",5
"365","10","BA","f","35-",5,"kuaauka2","kuaauka",3
"366","10","BA","f","35-",6,"haimete1","haimete",4
"367","10","BA","f","35-",7,"hecha2","hecha",2
"368","10","BA","f","35-",8,"mombeu1","mombeu",3
"369","10","BA","f","35-",9,"topa2","topa",4
"370","10","BA","f","35-",10,"controlA2","control",4
"371","10","BA","f","35-",11,"hechauka1","hechauka",3
"372","10","BA","f","35-",12,"kuaa2","kuaa",3
"373","10","BA","f","35-",13,"cos1","cos",2
"374","10","BA","f","35-",14,"hendu2","hendu",3
"375","10","BA","f","35-",15,"nte1","nte",4
"376","10","BA","f","35-",16,"juhu2","juhu",5
"377","10","BA","f","35-",17,"hechakuaa1","hechakuaa",4
"378","10","BA","f","35-",18,"hei2","hei",3
"379","10","BA","f","35-",19,"NRRC1","NRRC",4
"380","10","BA","f","35-",20,"controlA3","control",4
"381","10","BA","f","35-",21,"controlB1","control",5
"383","10","BA","f","35-",23,"moa1","moa",5
"384","10","BA","f","35-",24,"possNP2","possNP",4
"385","10","BA","f","35-",25,"kuaauka1","kuaauka",5
"386","10","BA","f","35-",26,"haimete2","haimete",4
"387","10","BA","f","35-",27,"hecha1","hecha",5
"388","10","BA","f","35-",28,"mombeu2","mombeu",5
"389","10","BA","f","35-",29,"topa1","topa",5
"390","10","BA","f","35-",30,"controlB2","control",5
"391","10","BA","f","35-",31,"hechauka2","hechauka",5
"392","10","BA","f","35-",32,"kuaa1","kuaa",4
"393","10","BA","f","35-",33,"cos2","cos",5
"394","10","BA","f","35-",34,"hendu1","hendu",4
"395","10","BA","f","35-",35,"nte2","nte",1
"396","10","BA","f","35-",36,"juhu1","juhu",1
"397","10","BA","f","35-",37,"hechakuaa2","hechakuaa",4
"398","10","BA","f","35-",38,"hei1","hei",1
"399","10","BA","f","35-",39,"NRRC2","NRRC",1
"400","10","BA","f","35-",40,"controlB3","control",3
"401","11","AB","f","35+",1,"controlA1","control",3
"402","11","AB","f","35+",2,"vya1","vya",5
"403","11","AB","f","35+",3,"moa2","moa",5
"404","11","AB","f","35+",4,"possNP1","possNP",5
"405","11","AB","f","35+",5,"kuaauka2","kuaauka",5
